Date,regime
2021-05-11,Bear
2021-05-12,Bear
2021-05-17,Bear
2021-05-18,Bear
2021-05-19,Bear
2021-05-20,Bear
2021-05-21,Bear
2021-05-24,Bear
2021-05-25,Bear
2021-05-26,Bear
2021-05-27,Bear
2021-05-28,Bear
2021-06-02,Bear
2021-06-03,Bear
2021-06-04,Bear
2021-06-07,Bear
2021-06-08,Bear
2021-06-09,Bear
2021-06-10,Bear
2021-06-11,Bear
2021-06-14,Bear
2021-06-15,Bear
2021-06-16,Bear
2021-06-17,Bear
2021-06-18,Bear
2021-06-21,Bear
2021-06-22,Bear
2021-06-23,Bear
2021-06-24,Bear
2021-06-25,Bear
2021-06-28,Bear
2021-06-29,Bull
2021-06-30,Bull
2021-07-01,Bull
2021-07-02,Bull
2021-07-07,Bull
2021-07-08,Bull
2021-07-09,Bull
2021-07-12,Bull
2021-07-13,Bull
2021-07-14,Bull
2021-07-15,Bull
2021-07-16,Bull
2021-07-19,Bull
2021-07-20,Bull
2021-07-23,Bull
2021-07-26,Bull
2021-07-27,Bull
2021-07-28,Bull
2021-07-29,Bull
2021-07-30,Bull
2021-08-02,Bull
2021-08-03,Bull
2021-08-04,Bull
2021-08-05,Bull
2021-08-06,Bull
2021-08-09,Bull
2021-08-10,Bull
2021-08-11,Bull
2021-08-12,Bull
2021-08-13,Bull
2021-08-16,Bull
2021-08-17,Bull
2021-08-18,Bear
2021-08-23,Bear
2021-08-24,Bear
2021-08-25,Bear
2021-08-26,Bear
2021-08-27,Bear
2021-08-30,Bear
2021-08-31,Bear
2021-09-01,Bear
2021-09-02,Bear
2021-09-03,Bear
2021-09-08,Bear
2021-09-09,Bear
2021-09-14,Bear
2021-09-15,Bear
2021-09-16,Bear
2021-09-17,Bear
2021-09-20,Bear
2021-09-21,Bear
2021-09-22,Bear
2021-09-23,Bear
2021-09-24,Bear
2021-09-27,Bear
2021-09-28,Bear
2021-09-29,Bear
2021-09-30,Bear
2021-10-01,Bear
2021-10-04,Bear
2021-10-05,Bear
2021-10-06,Bear
2021-10-07,Bear
2021-10-08,Bear
2021-10-11,Bear
2021-10-12,Bear
2021-10-13,Bear
2021-10-14,Bear
2021-10-19,Bear
2021-10-20,Bear
2021-10-21,Bear
2021-10-22,Bear
2021-10-25,Bull
2021-10-26,Bull
2021-10-27,Bull
2021-10-28,Bull
2021-10-29,Bull
2021-11-01,Bull
2021-11-02,Bull
2021-11-03,Bull
2021-11-04,Bull
2021-11-09,Bull
2021-11-10,Bull
2021-11-11,Bull
2021-11-12,Bull
2021-11-15,Bull
2021-11-16,Bull
2021-11-17,Bull
2021-11-18,Bull
2021-11-23,Bull
2021-11-24,Bull
2021-11-29,Bear
2021-11-30,Bear
2021-12-01,Bear
2021-12-02,Bear
2021-12-03,Bear
2021-12-06,Bear
2021-12-07,Bear
2021-12-08,Bear
2021-12-09,Bear
2021-12-10,Bear
2021-12-13,Bear
2021-12-14,Bear
2021-12-15,Bear
2021-12-16,Bear
2021-12-17,Bear
2021-12-20,Bear
2021-12-21,Bear
2021-12-22,Bear
2021-12-23,Bear
2021-12-28,Bear
2021-12-29,Bear
2021-12-30,Bear
2021-12-31,Bear
2022-01-03,Bear
2022-01-04,Bear
2022-01-05,Bear
2022-01-06,Bear
2022-01-07,Bear
2022-01-10,Bear
2022-01-11,Bear
2022-01-12,Bear
2022-01-13,Bear
2022-01-14,Bear
2022-01-19,Bear
2022-01-20,Bear
2022-01-21,Bear
2022-01-24,Bear
2022-01-25,Bear
2022-01-28,Bear
2022-01-31,Bear
2022-02-01,Bear
2022-02-02,Bear
2022-02-03,Bear
2022-02-04,Bear
2022-02-07,Bear
2022-02-08,Bear
2022-02-09,Bear
2022-02-10,Bear
2022-02-11,Bear
2022-02-14,Bear
2022-02-15,Bear
2022-02-16,Bear
2022-02-17,Bear
2022-02-18,Bear
2022-02-23,Bear
2022-02-24,Bear
2022-02-25,Bear
2022-02-28,Bear
2022-03-03,Bear
2022-03-04,Bear
2022-03-07,Bear
2022-03-08,Bear
2022-03-09,Bear
2022-03-10,Bear
2022-03-11,Bear
2022-03-14,Bear
2022-03-15,Bear
2022-03-16,Bear
2022-03-17,Crisis
2022-03-22,Crisis
2022-03-23,Crisis
2022-03-24,Crisis
2022-03-25,Crisis
2022-03-28,Crisis
2022-03-29,Crisis
2022-03-30,Bear
2022-03-31,Bear
2022-04-01,Bear
2022-04-04,Bear
2022-04-05,Bear
2022-04-06,Bear
2022-04-07,Bear
2022-04-08,Bear
2022-04-11,Bear
2022-04-12,Bear
2022-04-13,Bear
2022-04-19,Bear
2022-04-20,Bear
2022-04-21,Bear
2022-04-22,Bear
2022-04-25,Bear
2022-04-26,Bear
2022-04-27,Bear
2022-04-28,Bear
2022-04-29,Bear
2022-05-02,Bear
2022-05-05,Bear
2022-05-06,Bear
2022-05-09,Bear
2022-05-10,Bear
2022-05-11,Bear
2022-05-12,Bear
2022-05-13,Bear
2022-05-16,Bear
2022-05-17,Bear
2022-05-18,Bear
2022-05-19,Bear
2022-05-20,Bear
2022-05-23,Bear
2022-05-24,Bear
2022-05-25,Bear
2022-05-26,Bear
2022-05-27,Bear
2022-06-01,Bear
2022-06-02,Bear
2022-06-03,Bear
2022-06-06,Bear
2022-06-07,Bear
2022-06-08,Bear
2022-06-09,Bear
2022-06-10,Bear
2022-06-13,Bear
2022-06-14,Bear
2022-06-15,Bear
2022-06-16,Bear
2022-06-17,Bear
2022-06-22,Bear
2022-06-23,Bear
2022-06-24,Bear
2022-06-27,Bear
2022-06-28,Bear
2022-06-29,Bear
2022-06-30,Bear
2022-07-01,Bear
2022-07-06,Bear
2022-07-07,Bear
2022-07-08,Bear
2022-07-11,Bear
2022-07-12,Bear
2022-07-13,Bear
2022-07-14,Bear
2022-07-15,Bear
2022-07-18,Bear
2022-07-19,Bear
2022-07-20,Bear
2022-07-21,Bear
2022-07-22,Bear
2022-07-25,Bear
2022-07-26,Bear
2022-07-27,Bear
2022-07-28,Bear
2022-07-29,Bear
2022-08-01,Bear
2022-08-02,Bear
2022-08-03,Bear
2022-08-04,Bear
2022-08-05,Bear
2022-08-08,Bear
2022-08-11,Bear
2022-08-12,Bear
2022-08-17,Bear
2022-08-18,Bear
2022-08-19,Bear
2022-08-22,Bear
2022-08-23,Bear
2022-08-24,Bear
2022-08-25,Bear
2022-08-26,Bear
2022-08-29,Bear
2022-08-30,Bear
2022-09-02,Bear
2022-09-07,Bear
2022-09-08,Bear
2022-09-09,Bear
2022-09-12,Bear
2022-09-13,Bear
2022-09-14,Bear
